config_name             , M   , N   , K   , kernel, BM, BN, BK, TM, TN, avg_time_ms, avg_gflops, rel_to_cublas_pct
square_256              ,  256,  256,  256, cublas, NA, NA, NA, NA, NA,       0.134,     275.49, 100.00%
square_256              ,  256,  256,  256, shared, 8 , 8 , 8 , 1 , 1 ,       0.092,     380.28, 138.03%
square_256              ,  256,  256,  256, shared, 16, 16, 16, 1 , 1 ,       0.075,     466.04, 169.16%
square_256              ,  256,  256,  256, shared, 32, 32, 32, 1 , 1 ,       0.097,     365.88, 132.81%
square_256              ,  256,  256,  256, shared, 32, 8 , 32, 1 , 1 ,       0.091,     390.93, 141.90%
square_256              ,  256,  256,  256, shared, 8 , 32, 32, 1 , 1 ,       0.058,     572.28, 207.73%
square_1024             , 1024, 1024, 1024, cublas, NA, NA, NA, NA, NA,       0.574,    3759.70, 100.00%
square_1024             , 1024, 1024, 1024, shared, 8 , 8 , 8 , 1 , 1 ,       4.608,     466.10, 12.39%
square_1024             , 1024, 1024, 1024, shared, 16, 16, 16, 1 , 1 ,       3.522,     609.80, 16.21%
square_1024             , 1024, 1024, 1024, shared, 32, 32, 32, 1 , 1 ,       4.081,     526.17, 13.99%
square_1024             , 1024, 1024, 1024, shared, 32, 8 , 32, 1 , 1 ,       3.434,     625.27, 16.63%
square_1024             , 1024, 1024, 1024, shared, 8 , 32, 32, 1 , 1 ,       3.162,     679.21, 18.06%
square_4096             , 4096, 4096, 4096, cublas, NA, NA, NA, NA, NA,      32.772,    4202.07, 100.00%
square_4096             , 4096, 4096, 4096, shared, 8 , 8 , 8 , 1 , 1 ,     315.629,     435.54, 10.36%
square_4096             , 4096, 4096, 4096, shared, 16, 16, 16, 1 , 1 ,     203.154,     676.53, 16.09%
square_4096             , 4096, 4096, 4096, shared, 32, 32, 32, 1 , 1 ,     208.827,     658.15, 15.66%
square_4096             , 4096, 4096, 4096, shared, 32, 8 , 32, 1 , 1 ,     190.098,     723.01, 17.20%
square_4096             , 4096, 4096, 4096, shared, 8 , 32, 32, 1 , 1 ,     175.243,     784.43, 18.66%
nonsquare_4096x1024x8192, 4096, 1024, 8192, cublas, NA, NA, NA, NA, NA,      13.096,    5247.54, 100.00%
nonsquare_4096x1024x8192, 4096, 1024, 8192, shared, 8 , 8 , 8 , 1 , 1 ,     149.255,     460.42, 8.77%
nonsquare_4096x1024x8192, 4096, 1024, 8192, shared, 16, 16, 16, 1 , 1 ,     102.462,     670.79, 12.78%
nonsquare_4096x1024x8192, 4096, 1024, 8192, shared, 32, 32, 32, 1 , 1 ,     105.884,     649.06, 12.36%
nonsquare_4096x1024x8192, 4096, 1024, 8192, shared, 32, 8 , 32, 1 , 1 ,      97.072,     708.00, 13.49%
nonsquare_4096x1024x8192, 4096, 1024, 8192, shared, 8 , 32, 32, 1 , 1 ,      89.121,     771.10, 14.69%
nonsquare_8192x512x4096 , 8192,  512, 4096, cublas, NA, NA, NA, NA, NA,       7.284,    4717.11, 100.00%
nonsquare_8192x512x4096 , 8192,  512, 4096, shared, 8 , 8 , 8 , 1 , 1 ,      74.446,     461.60, 9.78%
nonsquare_8192x512x4096 , 8192,  512, 4096, shared, 16, 16, 16, 1 , 1 ,      55.519,     618.89, 13.12%
nonsquare_8192x512x4096 , 8192,  512, 4096, shared, 32, 32, 32, 1 , 1 ,      62.713,     547.95, 11.61%
nonsquare_8192x512x4096 , 8192,  512, 4096, shared, 32, 8 , 32, 1 , 1 ,      53.757,     639.55, 13.55%
nonsquare_8192x512x4096 , 8192,  512, 4096, shared, 8 , 32, 32, 1 , 1 ,      50.221,     684.17, 14.50%
unaligned_1000          , 1000, 1000, 1000, cublas, NA, NA, NA, NA, NA,       0.536,    3806.51, 100.00%
unaligned_1000          , 1000, 1000, 1000, shared, 8 , 8 , 8 , 1 , 1 ,       4.104,     487.30, 12.80%
unaligned_1000          , 1000, 1000, 1000, shared, 16, 16, 16, 1 , 1 ,       3.353,     596.52, 15.67%
unaligned_1000          , 1000, 1000, 1000, shared, 32, 32, 32, 1 , 1 ,       4.060,     492.60, 12.94%
unaligned_1000          , 1000, 1000, 1000, shared, 32, 8 , 32, 1 , 1 ,       3.229,     619.41, 16.27%
unaligned_1000          , 1000, 1000, 1000, shared, 8 , 32, 32, 1 , 1 ,       3.094,     646.37, 16.98%
unaligned_511x1023x2047 ,  511, 1023, 2047, cublas, NA, NA, NA, NA, NA,       0.584,    3688.66, 100.00%
unaligned_511x1023x2047 ,  511, 1023, 2047, shared, 8 , 8 , 8 , 1 , 1 ,       4.650,     460.32, 12.47%
unaligned_511x1023x2047 ,  511, 1023, 2047, shared, 16, 16, 16, 1 , 1 ,       3.562,     600.78, 16.28%
unaligned_511x1023x2047 ,  511, 1023, 2047, shared, 32, 32, 32, 1 , 1 ,       4.094,     522.72, 14.17%
unaligned_511x1023x2047 ,  511, 1023, 2047, shared, 32, 8 , 32, 1 , 1 ,       3.457,     619.01, 16.78%
unaligned_511x1023x2047 ,  511, 1023, 2047, shared, 8 , 32, 32, 1 , 1 ,       3.180,     672.95, 18.24%
